page_no,price,beds,baths,house_area,id,address
6,245000,4,2,1040,zpid_10267567,"178 Gay St, Philadelphia, PA"
6,230000,3,2,1600,zpid_10517027,"1830 Stanwood St, Philadelphia, PA"
6,659000,5,4,4348,zpid_10284336,"308 Carpenter Ln, Philadelphia, PA"
6,349900,2,2,892,zpid_10601117,"315 New St APT 109, Philadelphia, PA"
6,405000,5,2,2120,zpid_10256663,"1410 E Columbia Ave, Philadelphia, PA"
6,39900,7,3,2520,zpid_10227591,"3236 N 16th St, Philadelphia, PA"
6,779900,3,3,2012,zpid_10182424,"712 S 2nd St, Philadelphia, PA"
6,209900,3,3,1504,zpid_10492889,"5932 Castor Ave, Philadelphia, PA"
6,939000,3,3,1860,zpid_10210505,"1813 Addison St, Philadelphia, PA"
6,226700,4,2,1282,zpid_10530809,"507 Burgess St, Philadelphia, PA"
6,657500,5,4,3753,zpid_10285108,"6828 Quincy St, Philadelphia, PA"
6,90000,3,1,1234,zpid_10280127,"104 E Montana St, Philadelphia, PA"
6,119900,3,1,1318,zpid_10251865,"1712 65th Ave, Philadelphia, PA"
6,179000,3,2,1200,zpid_10593742,"1650 N 60th St, Philadelphia, PA"
6,375000,5,3,2037,zpid_10268968,"130 Ripka St, Philadelphia, PA"
6,155000,3,1,1152,zpid_10557755,"6253 Cardiff St, Philadelphia, PA"
6,375000,3,1,932,zpid_10197881,"248 S Warnock St, Philadelphia, PA"
6,685000,3,2,1720,zpid_10318988,"1820 Catharine St, Philadelphia, PA"
6,549000,3,4,2133,zpid_63497742,"200 Christian St UNIT 10, Philadelphia, PA"
6,775000,3,3,1530,zpid_10210678,"331 S Hicks St, Philadelphia, PA"
6,89900,7,3,2670,zpid_10287050,"1715 Harrison St, Philadelphia, PA"
6,349900,4,3,1814,zpid_10527043,"608 Oakfield Ln, Philadelphia, PA"
6,389900,2,2,1300,zpid_2139539394,"776 S 3rd St, Philadelphia, PA"
8,179000,3,1,870,zpid_10234011,"5329 Morris St, Philadelphia, PA"
8,399000,7,2,2250,zpid_103776616,"4903 Walnut St, Philadelphia, PA"
8,309900,3,1,1380,zpid_10270547,"358 Martin St, Philadelphia, PA"
8,219900,4,2,1944,zpid_10510175,"4315 Tyson Ave, Philadelphia, PA"
